OPERATING_AGENCY,PROGRAM_SITE,STREET_ADDRESS,POSTAL_CODE,POPULATION,CAPACITY_TYPE,CAPACITY_BEDS,CAPACITY_ROOMS,PROGRAMS_ON_SITE,LON,LAT
Fred Victor Centre,Fred Victor Mary Sheffield House,512 Jarvis St,M4Y 2H6,23,Beds,25,,1,-79.379468,43.667552
Fred Victor Centre,Fred Victor Centre Bethlehem United Shelter,1161 Caledonia Rd,M6A 2W9,66,Beds,70,,1,-79.467107,43.715576
Fred Victor Centre,Adelaide Resource Centre for Women,67 Adelaide St E,M5C 1K6,39,Beds,52,,1,-79.374957,43.651107
Good Shepherd Ministries,Good Shepherd Centre West End Hotel Program,335 Jarvis St,M5B 2C2,47,Rooms,,47,1,-79.375577,43.660119
Good Shepherd Ministries,Good Shepherd Centre,412 Queen St E,M5A 1T3,76,Beds,81,,3,-79.362414,43.656181
Good Shepherd Ministries,Good Shepherd Centre Barrett House,35 Sydenham St,M5A 4H5,4,Beds,5,,1,-79.362579,43.65657
Homes First Society,HFS - Metro Strachan,22 Metropolitan Rd,M1R 2T5,391,Both,38,176,2,-79.301175,43.767263
Homes First Society,HFS Placer,101 Placer Ct,M2H 3H9,86,Beds,86,,1,-79.341406,43.802026
Homes First Society,HFS - Lawrence East Shelter,4117 Lawrence Ave E,M1E 2S2,84,Beds,87,,1,-79.193721,43.766211
Homes First Society,HFS Willowdale Centre,5800 Yonge St,M2M 3T3,25,Beds,25,,2,-79.417727,43.784389
Homes First Society,HFS 545 Lake Shore Blvd W Shelter,545 Lake Shore Blvd W,M5V 1A3,146,Beds,150,,4,-79.398738,43.636483
Homes First Society,HFS Kennedy Rd Women's Shelter,702 Kennedy Rd,M1K 2B5,58,Beds,60,,1,-79.266777,43.728197
Homes First Society,HFS St. Clair Ave E Shelter,3576 St Clair Ave E,M1K 1M2,47,Beds,47,,1,-79.258209,43.717466
Horizon for Youth,Horizons for Youth,422 Gilbert Ave,M6E 4X3,42,Beds,45,,1,-79.462803,43.689372
Kennedy House Youth Services,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,30,Beds,30,,1,-79.349848,43.690865
