CMA_NAME,CMA_CODE,CS_CODE,CTNAME,STATUS,MUNICIPALUNIT,POPULATION_2021
Toronto,35535,3520005,0067.00,Census Tract,Toronto,1692
Toronto,35535,3520005,0068.00,Census Tract,Toronto,2451
Toronto,35535,3520005,0069.00,Census Tract,Toronto,4847
Toronto,35535,3520005,0070.00,Census Tract,Toronto,3302
Toronto,35535,3520005,0071.00,Census Tract,Toronto,3342
Toronto,35535,3520005,0072.01,Census Tract,Toronto,4509
Toronto,35535,3520005,0072.02,Census Tract,Toronto,2985
Toronto,35535,3520005,0073.00,Census Tract,Toronto,2478
Toronto,35535,3520005,0074.00,Census Tract,Toronto,3723
Toronto,35535,3520005,0075.00,Census Tract,Toronto,4014
Toronto,35535,3520005,0076.00,Census Tract,Toronto,4237
Toronto,35535,3520005,0077.00,Census Tract,Toronto,4493
Toronto,35535,3520005,0078.00,Census Tract,Toronto,6282
Toronto,35535,3520005,0079.00,Census Tract,Toronto,7424
Toronto,35535,3520005,0080.01,Census Tract,Toronto,3707
Toronto,35535,3520005,0080.02,Census Tract,Toronto,4642
Toronto,35535,3520005,0081.00,Census Tract,Toronto,2848
Toronto,35535,3520005,0082.00,Census Tract,Toronto,2647
Toronto,35535,3520005,0083.00,Census Tract,Toronto,3869
Toronto,35535,3520005,0084.00,Census Tract,Toronto,3552
Toronto,35535,3520005,0085.00,Census Tract,Toronto,4160
Toronto,35535,3520005,0086.00,Census Tract,Toronto,2528
Toronto,35535,3520005,0087.00,Census Tract,Toronto,4814
Toronto,35535,3520005,0088.00,Census Tract,Toronto,3127
Toronto,35535,3520005,0089.00,Census Tract,Toronto,5349
Toronto,35535,3520005,0090.00,Census Tract,Toronto,4020
Toronto,35535,3520005,0091.01,Census Tract,Toronto,5739
Toronto,35535,3520005,0091.02,Census Tract,Toronto,3421
Toronto,35535,3520005,0092.00,Census Tract,Toronto,6818
Toronto,35535,3520005,0093.00,Census Tract,Toronto,5358
Toronto,35535,3520005,0094.00,Census Tract,Toronto,4699
Toronto,35535,3520005,0095.00,Census Tract,Toronto,2913
Toronto,35535,3520005,0096.01,Census Tract,Toronto,1610
Toronto,35535,3520005,0096.02,Census Tract,Toronto,3156
Toronto,35535,3520005,0097.01,Census Tract,Toronto,3929
Toronto,35535,3520005,0097.03,Census Tract,Toronto,2078
Toronto,35535,3520005,0097.04,Census Tract,Toronto,5031
Toronto,35535,3520005,0098.00,Census Tract,Toronto,6976
Toronto,35535,3520005,0099.00,Census Tract,Toronto,6282
Toronto,35535,3520005,0100.00,Census Tract,Toronto,2961
Toronto,35535,3520005,0101.00,Census Tract,Toronto,3246
Toronto,35535,3520005,0102.02,Census Tract,Toronto,4561
Toronto,35535,3520005,0102.03,Census Tract,Toronto,3576
Toronto,35535,3520005,0102.04,Census Tract,Toronto,706
Toronto,35535,3520005,0102.05,Census Tract,Toronto,842
Toronto,35535,3520005,0103.00,Census Tract,Toronto,6195
Toronto,35535,3520005,0104.00,Census Tract,Toronto,5476
Toronto,35535,3520005,0105.00,Census Tract,Toronto,4318
Toronto,35535,3520005,0106.00,Census Tract,Toronto,3680
Toronto,35535,3520005,0107.00,Census Tract,Toronto,4851
Toronto,35535,3520005,0108.00,Census Tract,Toronto,5829
Toronto,35535,3520005,0109.00,Census Tract,Toronto,5470
Toronto,35535,3520005,0110.00,Census Tract,Toronto,3491
Toronto,35535,3520005,0111.00,Census Tract,Toronto,2442
Toronto,35535,3520005,0112.00,Census Tract,Toronto,4761
Toronto,35535,3520005,0113.00,Census Tract,Toronto,2521
Toronto,35535,3520005,0114.00,Census Tract,Toronto,5164
Toronto,35535,3520005,0115.00,Census Tract,Toronto,4219
Toronto,35535,3520005,0116.00,Census Tract,Toronto,4445
Toronto,35535,3520005,0117.00,Census Tract,Toronto,2518
Toronto,35535,3520005,0118.00,Census Tract,Toronto,3995
Toronto,35535,3520005,0119.00,Census Tract,Toronto,4856
Toronto,35535,3520005,0120.00,Census Tract,Toronto,1418
Toronto,35535,3520005,0121.00,Census Tract,Toronto,3183
Toronto,35535,3520005,0122.00,Census Tract,Toronto,6199
Toronto,35535,3520005,0123.00,Census Tract,Toronto,2377
Toronto,35535,3520005,0124.00,Census Tract,Toronto,5529
Toronto,35535,3520005,0125.00,Census Tract,Toronto,4270
